site,pred.disturb,pred.level,flight,patcharea,mudarea
Faver-Dykes,1201,medium,FB2,3.086,NA
Faver-Dykes,1201,medium,FB2,3.784,NA
Faver-Dykes,1201,medium,FB2,3.938,NA
Faver-Dykes,1201,medium,FB2,4.001,164.298
Faver-Dykes,1201,medium,FB2,4.034,NA
Faver-Dykes,1201,medium,FB2,4.276,NA
Faver-Dykes,1201,medium,FB2,4.307,NA
Faver-Dykes,1201,medium,FB2,4.486,NA
Faver-Dykes,1201,medium,FB2,4.511,NA
Faver-Dykes,1201,medium,FB2,5.121,NA
Faver-Dykes,1201,medium,FB2,5.158,NA
Faver-Dykes,1201,medium,FB2,5.531,NA
Faver-Dykes,1201,medium,FB1,5.816,NA
Faver-Dykes,1201,medium,FB2,6.296,116.628
Faver-Dykes,1201,medium,FB1,6.55,NA
Faver-Dykes,1201,medium,FB2,6.631,269.054
Faver-Dykes,1201,medium,FB2,6.683,NA
Faver-Dykes,1201,medium,FB2,6.721,NA
Faver-Dykes,1201,medium,FB2,6.747,NA
Faver-Dykes,1201,medium,FB2,6.78,NA
Faver-Dykes,1201,medium,FB2,6.812,NA
Faver-Dykes,1201,medium,FB1,6.832,NA
Faver-Dykes,1201,medium,FB2,7.542,NA
Faver-Dykes,1201,medium,FB2,7.604,NA
Faver-Dykes,1201,medium,FB1,7.924,78.205
Faver-Dykes,1201,medium,FB2,8.558,NA
Faver-Dykes,1201,medium,FB2,8.725,NA
Faver-Dykes,1201,medium,FB2,9.07,467.318
Faver-Dykes,1201,medium,FB2,9.148,NA
Faver-Dykes,1201,medium,FB2,9.788,NA
Faver-Dykes,1201,medium,FB2,9.918,NA
Faver-Dykes,1201,medium,FB2,9.925,NA
Faver-Dykes,1201,medium,FB1,9.969,NA
Faver-Dykes,1201,medium,FB2,10.052,NA
Faver-Dykes,1201,medium,FB2,10.315,NA
Faver-Dykes,1201,medium,FB2,10.471,NA
Faver-Dykes,1201,medium,FB2,10.599,NA
Faver-Dykes,1201,medium,FB2,11.921,NA
Faver-Dykes,1201,medium,FB2,11.992,NA
Faver-Dykes,1201,medium,FB1,12.151,NA
Faver-Dykes,1201,medium,FB1,12.259,NA
Faver-Dykes,1201,medium,FB1,12.26,NA
Faver-Dykes,1201,medium,FB2,12.892,NA
Faver-Dykes,1201,medium,FB2,13.522,NA
Faver-Dykes,1201,medium,FB1,13.694,NA
Faver-Dykes,1201,medium,FB2,13.917,NA
Faver-Dykes,1201,medium,FB2,14.232,NA
Faver-Dykes,1201,medium,FB2,14.654,NA
Faver-Dykes,1201,medium,FB2,15.041,NA
Faver-Dykes,1201,medium,FB2,16.145,NA
Faver-Dykes,1201,medium,FB2,17.373,NA
Faver-Dykes,1201,medium,FB2,17.446,NA
Faver-Dykes,1201,medium,FB1,17.914,NA
Faver-Dykes,1201,medium,FB1,18.163,NA
Faver-Dykes,1201,medium,FB1,18.402,73.074
Faver-Dykes,1201,medium,FB2,19.107,NA
Faver-Dykes,1201,medium,FB2,20.59,NA
Faver-Dykes,1201,medium,FB1,20.666,NA
Faver-Dykes,1201,medium,FB1,20.907,NA
Faver-Dykes,1201,medium,FB1,21.111,NA
Faver-Dykes,1201,medium,FB1,21.631,NA
Faver-Dykes,1201,medium,FB2,23.606,NA
Faver-Dykes,1201,medium,FB2,24.3,NA
Faver-Dykes,1201,medium,FB2,26.31,1010.228
Faver-Dykes,1201,medium,FB1,27.483,78.516
Faver-Dykes,1201,medium,FB1,27.635,NA
Faver-Dykes,1201,medium,FB1,31.474,NA
Faver-Dykes,1201,medium,FB2,32.943,NA
Faver-Dykes,1201,medium,FB2,34.674,NA
Faver-Dykes,1201,medium,FB1,39.285,598.486
Faver-Dykes,1201,medium,FB1,42.771,NA
Faver-Dykes,1201,medium,FB1,44.957,43.836
Faver-Dykes,1201,medium,FB1,45.15,NA
Faver-Dykes,1201,medium,FB1,47.228,NA
Faver-Dykes,1201,medium,FB1,52.687,NA
Faver-Dykes,1201,medium,FB1,59.478,233.239
Faver-Dykes,1201,medium,FB1,61.433,NA
Faver-Dykes,1201,medium,FB1,64.731,NA
Faver-Dykes,1201,medium,FB1,72.251,NA
Faver-Dykes,1201,medium,FB1,128.173,73.613
Faver-Dykes,1201,medium,FB1,140.491,116.159
Gracie,95,low,Gracie1,3.177,NA
Gracie,95,low,Gracie2,3.177,NA
Gracie,95,low,Gracie1,3.858,NA
Gracie,95,low,Gracie2,3.858,NA
Gracie,95,low,Gracie1,5.667,NA
Gracie,95,low,Gracie1,5.667,NA
Gracie,95,low,Gracie1,8.057,NA
Gracie,95,low,Gracie2,8.057,89.074
